county_name,fips,pop2020,pop_density_perSqMile,perc_pop_65plus,median_HH_income,perc_college_grad
"Los Angeles County, CA",6037,10040723,2474.4,14.2913,71659,29.2327
"Cook County, IL",17031,5141687,5439.1,15.6387,73666,34.9813
"Harris County, TX",48201,4713171,2766.8,11.1661,71380,26.0276
"Maricopa County, AZ",4013,4512331,490.5,14.9254,71638,29.0841
"San Diego County, CA",6073,3344694,795.1,14.8121,83028,33.7784
"Orange County, CA",6059,3177905,4019.8,15.2305,98315,36.8408
"Miami-Dade County, FL",12086,2721256,1434,18.5482,60926,25.5763
"Dallas County, TX",48113,2634796,3024.1,11.9954,67021,27.5151
"Kings County, NY",36047,2556145,36095.7,15.0842,62312,31.7621
"Riverside County, CA",6065,2483726,344.7,14.5593,70944,19.5817
"Clark County, NV",32003,2285328,289.6,14.1048,69729,21.7949
"King County, WA",53033,2253103,1065,13.9919,94580,46.1233
"Queens County, NY",36081,2251771,20747.5,16.2278,73525,29.7814
"San Bernardino County, CA",6071,2185317,109,11.9075,68736,18.3813
"Tarrant County, TX",48439,2108659,2441.7,11.8504,76311,29.5226
"Bexar County, TX",48029,2012291,1623.1,13.9432,65759,25.1665
"Broward County, FL",12011,1955251,1616.2,17.6487,71011,29.9473
"Santa Clara County, CA",6085,1924317,1491.6,14.2873,117156,47.4012
"Wayne County, MI",26163,1747584,2855.2,16.6331,58782,22.1003
"Alameda County, CA",6001,1671168,2261.3,14.4668,93194,41.3549
"New York County, NY",36061,1629734,71389.7,17.5611,90764,53.613
"Middlesex County, MA",25017,1613205,1972.6,16.6734,109033,51.2766
"Philadelphia County, PA",42101,1583217,11806.1,15.7573,51667,23.3379
"Sacramento County, CA",6067,1556817,1613.9,14.5199,73704,27.822
"Palm Beach County, FL",12099,1502034,762.5,25.2769,72710,32.5157
"Suffolk County, NY",36103,1477528,1620,17.3997,115760,33.8528
"Hillsborough County, FL",12057,1473380,1444.2,15.0786,67854,27.8498
"Bronx County, NY",36005,1414324,33597.3,13.8151,43270,19.1247
"Orange County, FL",12095,1396795,1546.1,12.9272,65634,29.3967
"Nassau County, NY",36059,1358613,4771.8,19.1275,128327,41.2418
"Franklin County, OH",39049,1319380,2479.2,12.7949,69350,35.7488
"Travis County, TX",48453,1281160,1293.8,10.0632,76193,41.6319
"Hennepin County, MN",27053,1268070,2290.6,14.1361,86173,46.4373
"Oakland County, MI",26125,1258791,1450.8,16.9144,90893,43.5227
"Cuyahoga County, OH",39035,1234398,2700,19.5986,62121,29.2719
"Allegheny County, PA",42003,1217156,1667.2,21.0215,70407,37.7866
"Salt Lake County, UT",49035,1164021,1568.2,11.0772,77962,31.7724
"Contra Costa County, CA",6013,1155188,1613.5,15.7848,100708,38.0141
"Fairfax County, VA",51059,1145312,2929.4,13.0846,141008,55.679
"Wake County, NC",37183,1118126,1338.7,11.3366,89761,45.2322
"Mecklenburg County, NC",37119,1113690,2126,11.5045,77123,38.6705
"Fulton County, GA",13121,1067116,2026.3,12.069,79588,44.9775
"Pima County, AZ",4019,1052466,114.6,19.1235,60802,29.29
"Montgomery County, MD",24031,1051715,2140.9,15.7318,126020,52.7381
"Collin County, TX",48085,1043748,1240.7,10.3166,109113,48.1337
"Fresno County, CA",6019,1001679,168.1,12.9755,56265,18.5267
"St. Louis County, MO",29189,995221,1959.9,18.8651,82181,39.8159
"Pinellas County, FL",12103,979919,3579,25.712,63849,28.8652
"Honolulu County, HI",15003,971975,1618,19.4214,93053,32.372
"Westchester County, NY",36119,968247,2249.1,18.4349,106230,43.0162
"Marion County, IN",18097,963666,2431.7,13.5338,58922,28.0487
"Duval County, FL",12031,961793,1261.9,14.4162,67528,26.3294
"Milwaukee County, WI",55079,944245,3911.5,14.4604,60451,28.8417
"Fairfield County, CT",9001,942596,1508.4,17.2872,110914,43.9171
"Gwinnett County, GA",13135,938995,2181.8,8.9726,83457,33.4387
"Shelby County, TN",47157,936255,1226.8,13.2749,65874,28.3043
"Bergen County, NJ",34003,935393,4014.4,18.9914,112228,45.6518
"DuPage County, IL",17043,921485,2813.7,14.9814,104860,46.3718
"Erie County, NY",36029,920134,882.5,19.9656,68816,31.8524
"Pierce County, WA",53053,908629,544.2,14.3559,78928,24.5124
"Prince George's County, MD",24033,907925,1881,12.4593,99924,30.2732
"Kern County, CA",6029,903079,111.1,12.5247,60676,15.481
"Denton County, TX",48121,896053,1020.1,9.4066,96639,38.829
"Hartford County, CT",9003,891590,1212.9,18.2886,87795,35.4816
"San Francisco County, CA",6075,882417,18825.8,18.0977,93951,49.5709
"Macomb County, MI",26099,876216,1828.4,17.7963,74214,23.9471
"Hidalgo County, TX",48215,871085,554.5,12.5952,45352,15.6785
"New Haven County, CT",9009,854873,1414.2,18.2025,84787,32.3901
"Ventura County, CA",6111,847146,459.6,15.843,99402,30.5335
"El Paso County, TX",48141,840417,829.9,13.7025,52282,20.6293
"Montgomery County, PA",42091,833434,1725.4,19.0195,106464,45.8056
"Worcester County, MA",25027,832339,550.9,16.1796,88304,34.8813
"Baltimore County, MD",24005,828241,1384.3,18.0462,90471,35.6401
"Middlesex County, NJ",34023,826735,2676.3,15.3094,106488,41.4305
"Snohomish County, WA",53061,825706,395.6,13.4257,91280,29.2643
"Hamilton County, OH",39061,818738,2017,17.0773,68690,34.13
"Fort Bend County, TX",48157,817103,948.5,10.2319,110872,40.0385
"Multnomah County, OR",41051,813794,1886.9,13.8309,69904,39.9003
"Suffolk County, MA",25025,803156,13810.8,13.7884,70060,37.4008
"Essex County, NJ",34013,799943,6338.1,15.0091,76034,31.3909
"Oklahoma County, OK",40109,799370,1127.7,15.5684,60693,29.6777
"Essex County, MA",25009,790584,1605,17.9894,90181,36.8202
"Lee County, FL",12071,777411,990.9,28.3968,67294,24.7288
"Jefferson County, KY",21111,768182,2019.3,17.085,66058,30.3326
"San Mateo County, CA",6081,765837,1707.9,16.9071,113790,43.7825
"San Joaquin County, CA",6077,765512,550.2,13.5849,68339,17.5211
"Cobb County, GA",13067,761438,2242.5,11.1714,88717,43.1698
"DeKalb County, GA",13089,759228,2837.4,11.9905,71838,38.9368
"Monroe County, NY",36055,742374,1129.6,17.8181,72493,34.8075
"Polk County, FL",12105,732435,407.4,22.4715,60543,18.7589
"Denver County, CO",8031,729348,4767,13.5635,66112,41.7001
"El Paso County, CO",8041,724738,340.8,13.1747,76961,34.819
"Norfolk County, MA",25021,708325,1788.2,18.2378,112694,48.8097
"District of Columbia, DC",11001,705989,11564.4,15.2153,89680,45.3642
"Jackson County, MO",29095,704043,1164.7,15.9519,65358,28.1122
"Lake County, IL",17097,695969,1568.7,13.5979,104140,41.5274
"Davidson County, TN",47037,694617,1378.1,13.4486,64800,35.8386
"Will County, IL",17197,691843,826.7,12.0915,100886,33.3188
"Bernalillo County, NM",35001,680099,585.9,16.0475,62704,31.6182
"Hudson County, NJ",34017,672831,14566.3,13.5218,77854,36.8613
"Jefferson County, AL",1073,658926,592.9,16.6724,65374,29.8374
"Kent County, MI",26081,658027,776.9,14.3063,69540,32.0842
"Arapahoe County, CO",8005,657609,824,12.916,80572,38.5281
"Tulsa County, OK",40143,652649,1144.5,15.2485,62382,29.3706
"Utah County, UT",49049,639599,319.2,8.8329,81609,34.5879
"Providence County, RI",44007,639097,1560.7,17.016,66422,26.175
"Bucks County, PA",42017,629744,1042.1,18.6806,103611,38.7637
"Monmouth County, NJ",34025,619973,1322.5,17.6795,113200,42.07
"Montgomery County, TX",48339,613316,588.7,14.0481,88364,28.9037
"Ocean County, NJ",34029,610498,970.9,24.9688,83350,28.3511
"Brevard County, FL",12009,607014,597.7,25.5686,68128,27.2051
"Johnson County, KS",20091,604162,1276.3,14.129,101087,52.3223
"Washington County, OR",41067,602808,832.3,12.7578,84934,40.7052
"Williamson County, TX",48491,596980,533.8,11.847,94832,36.0638
"Baltimore city, MD",24510,591025,7301.7,15.4384,58760,25.6855
"Jefferson County, CO",8059,584699,765.1,16.5345,91762,42.3875
"Anne Arundel County, MD",24003,580939,1400.2,15.465,115217,38.3527
